,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,license,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,projectrank_placing,dockerhub_id,docs_url,labels,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
100,STUMPY,TDAmeritrade/stumpy,time-series-data,,{},46.0,"STUMPY is a powerful and scalable Python library that computes something called a matrix profile, which can then be..",16,False,stumpy,conda-forge/stumpy,BSD-3-Clause,1673.0,1673.0,https://pypi.org/project/stumpy,456064.0,473360.0,https://anaconda.org/conda-forge/stumpy,2020-06-15 15:52:12.048,2026-02-08 02:09:16.381,2026-02-08 02:09:16.381000,1279971.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,
101,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,{},75.0,A collection of sklearn transformers to encode categorical variables as numeric.,16,False,category_encoders,conda-forge/category_encoders,,4231.0,4231.0,https://pypi.org/project/category_encoders,2722404.0,2732197.0,https://anaconda.org/conda-forge/category_encoders,2021-10-13 18:33:31.261,2026-07-28 19:16:21.783,2026-07-28 19:16:21.783000,568023.0,26.0,1.0,,,['sklearn'],,,,,,,,,,,,,,,,,,
102,Cython BLIS,explosion/cython-blis,others,,{},17.0,Fast matrix-multiplication as a self-contained Python library no system dependencies!.,16,False,blis,conda-forge/cython-blis,,67929.0,67929.0,https://pypi.org/project/blis,24068427.0,24121162.0,https://anaconda.org/conda-forge/cython-blis,2020-09-18 17:34:28.094,2025-11-18 01:29:21.085,2025-11-18 01:29:21.085000,3744210.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,
103,hdbscan,scikit-learn-contrib/hdbscan,others,,{},105.0,Clustering based on density with variable density clusters.,16,False,hdbscan,conda-forge/hdbscan,,8335.0,8335.0,https://pypi.org/project/hdbscan,2768062.0,2823272.0,https://anaconda.org/conda-forge/hdbscan,2020-10-18 16:15:33.125,2026-06-02 10:26:57.130,2026-06-02 10:26:57.130000,3864722.0,40.0,2.0,,,['sklearn'],,,,,,,,,,,,,,,,,,
104,dlib,davisking/dlib,ml-frameworks,,{},215.0,toolkit for making real world machine learning and data analysis applications.,16,False,dlib,conda-forge/dlib,,40044.0,40044.0,https://pypi.org/project/dlib,195945.0,225859.0,https://anaconda.org/conda-forge/dlib,2020-06-11 11:52:27.902,2026-03-30 01:26:10.010,2026-03-30 01:26:10.010000,2213669.0,24.0,2.0,,,,,,,,,,,,,,,,,,,,,
105,plotnine,has2k1/plotnine,data-viz,,{},121.0,A grammar of graphics for python.,16,False,plotnine,conda-forge/plotnine,,13057.0,13057.0,https://pypi.org/project/plotnine,3116920.0,3127701.0,https://anaconda.org/conda-forge/plotnine,2020-06-05 19:51:41.903,2026-08-14 16:58:02.909,2026-08-14 16:58:02.909000,797831.0,38.0,2.0,,,,,,,,,,,,,,,,,,,,,
106,cartopy,SciTools/cartopy,data-viz,,{},142.0,A library providing cartographic tools for python.,16,False,cartopy,conda-forge/cartopy,,8858.0,8858.0,https://pypi.org/project/cartopy,1786488.0,1893858.0,https://anaconda.org/conda-forge/cartopy,2020-05-18 16:23:27.911,2026-08-10 13:47:41.548,2026-08-10 13:47:41.548000,8052762.0,27.0,2.0,,,,,,,,,,,,,,,,,,,,,
107,metrics,Lightning-AI/metrics,distributed-ml,,{},294.0,Collection of PyTorch native metrics for easy evaluating machine learning models.,16,False,metrics,conda-forge/torchmetrics,,48034.0,48034.0,https://pypi.org/project/metrics,23007.0,71984.0,https://anaconda.org/conda-forge/torchmetrics,2021-03-16 10:50:04.846,2026-03-18 09:56:39.711,2026-03-18 09:56:39.711000,3183523.0,61.0,1.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
108,TorchServe,pytorch/serve,model-serialisation,,{},222.0,Model serving on PyTorch.,15,False,torchserve,pytorch/torchserve,,954.0,954.0,https://pypi.org/project/torchserve,31399.0,62733.0,https://anaconda.org/pytorch/torchserve,2020-04-21 03:52:57.365,2025-03-25 16:24:31.948,2025-03-25 16:24:31.948000,759171.0,25.0,2.0,pytorch/torchserve,,['pytorch'],https://hub.docker.com/r/pytorch/torchserve,2024-09-30 22:07:15.226668,33.0,33.0,1622244.0,,,,,,,,,,,,,
109,Fastai,fastai/fastai,ml-frameworks,,{},263.0,,15,False,fastai,,,23530.0,23530.0,https://pypi.org/project/fastai,664476.0,664476.0,,,,,,,2.0,,,['pytorch'],,,,,,,,,,,,,,,,,,
