,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,snap_id,dnf_id,yay_id,maven_id,maven_url
95,BoTorch,pytorch/botorch,hyperopt,,{},165.0,Bayesian Optimization in PyTorch.,16,False,botorch,conda-forge/botorch,,,['pytorch'],1949.0,1949.0,https://pypi.org/project/botorch,933709.0,936842.0,https://anaconda.org/conda-forge/botorch,2020-08-01 11:16:39.122,2026-06-09 03:34:16.649,2026-06-09 03:34:16.649000,225641.0,43.0,,,,,,1.0,,,,,,,,,,,,,,
96,Nilearn,nilearn/nilearn,medical-data,,{},282.0,Statistical learning for neuroimaging in Python.,16,False,nilearn,conda-forge/nilearn,,,['sklearn'],4601.0,4601.0,https://pypi.org/project/nilearn,247938.0,256847.0,https://anaconda.org/conda-forge/nilearn,2020-11-12 13:26:01.761,2026-07-02 10:30:48.603,2026-07-02 10:30:48.603000,614725.0,31.0,,,,,,2.0,,,,,,,,,,,,,,
97,MONAI,Project-MONAI/MONAI,medical-data,,{},299.0,AI Toolkit for Healthcare Imaging.,16,False,monai,conda-forge/monai,,,['pytorch'],4738.0,4738.0,https://pypi.org/project/monai,626280.0,627622.0,https://anaconda.org/conda-forge/monai,2021-12-29 09:55:36.763,2026-01-28 07:31:46.743,2026-01-28 07:31:46.743000,75193.0,15.0,,,,,,2.0,,,,,,,,,,,,,,
98,sktime,alan-turing-institute/sktime,time-series-data,,{},618.0,A unified framework for machine learning with time series.,16,False,sktime,conda-forge/sktime-all-extras,,,['sklearn'],4875.0,4875.0,https://pypi.org/project/sktime,1118571.0,1140108.0,https://anaconda.org/conda-forge/sktime-all-extras,2021-07-28 06:16:34.545,2025-12-07 07:18:44.347,2025-12-07 07:18:44.347000,1313804.0,76.0,,,,,,1.0,,,,,,,,,,,,,,
99,STUMPY,TDAmeritrade/stumpy,time-series-data,,{},46.0,"STUMPY is a powerful and scalable Python library that computes something called a matrix profile, which can then be..",16,False,stumpy,conda-forge/stumpy,,,,1670.0,1670.0,https://pypi.org/project/stumpy,456902.0,474077.0,https://anaconda.org/conda-forge/stumpy,2020-06-15 15:52:12.048,2026-02-08 02:09:16.381,2026-02-08 02:09:16.381000,1270966.0,29.0,,,,,,1.0,,BSD-3-Clause,,,,,,,,,,,,
100,category_encoders,scikit-learn-contrib/category_encoders,sklearn-utils,,{},76.0,A collection of sklearn transformers to encode categorical variables as numeric.,16,False,category_encoders,conda-forge/category_encoders,,,['sklearn'],4226.0,4226.0,https://pypi.org/project/category_encoders,2875447.0,2885188.0,https://anaconda.org/conda-forge/category_encoders,2021-10-13 18:33:31.261,2026-07-28 19:16:21.783,2026-07-28 19:16:21.783000,565002.0,26.0,,,,,,1.0,,,,,,,,,,,,,,
101,Cython BLIS,explosion/cython-blis,others,,{},17.0,Fast matrix-multiplication as a self-contained Python library no system dependencies!.,16,False,blis,conda-forge/cython-blis,,,,67796.0,67796.0,https://pypi.org/project/blis,22037624.0,22089811.0,https://anaconda.org/conda-forge/cython-blis,2020-09-18 17:34:28.094,2025-11-18 01:29:21.085,2025-11-18 01:29:21.085000,3705281.0,21.0,,,,,,2.0,,,,,,,,,,,,,,
102,hdbscan,scikit-learn-contrib/hdbscan,others,,{},105.0,Clustering based on density with variable density clusters.,16,False,hdbscan,conda-forge/hdbscan,,,['sklearn'],8314.0,8314.0,https://pypi.org/project/hdbscan,2827014.0,2881900.0,https://anaconda.org/conda-forge/hdbscan,2020-10-18 16:15:33.125,2026-06-02 10:26:57.130,2026-06-02 10:26:57.130000,3842060.0,40.0,,,,,,2.0,,,,,,,,,,,,,,
103,dlib,davisking/dlib,ml-frameworks,,{},215.0,toolkit for making real world machine learning and data analysis applications.,16,False,dlib,conda-forge/dlib,,,,40033.0,40033.0,https://pypi.org/project/dlib,195167.0,224796.0,https://anaconda.org/conda-forge/dlib,2020-06-11 11:52:27.902,2026-03-30 01:26:10.010,2026-03-30 01:26:10.010000,2192612.0,24.0,,,,,,2.0,,,,,,,,,,,,,,
104,jieba,fxsjy/jieba,chinese-nlp,,{},49.0,Chinese Words Segementation Utilities.,16,False,jieba,conda-forge/jieba,,,,41857.0,41857.0,https://pypi.org/project/jieba,3092623.0,3097935.0,https://anaconda.org/conda-forge/jieba,2021-05-30 19:33:00.476,2026-04-29 15:40:45.910,2026-04-29 15:40:45.910000,334669.0,3.0,,,,,,1.0,,,,,,,,,,,,,,
105,plotnine,has2k1/plotnine,data-viz,,{},122.0,A grammar of graphics for python.,16,False,plotnine,conda-forge/plotnine,,,,13039.0,13039.0,https://pypi.org/project/plotnine,3154992.0,3165638.0,https://anaconda.org/conda-forge/plotnine,2020-06-05 19:51:41.903,2026-06-13 11:00:50.180,2026-06-13 11:00:50.180000,787865.0,37.0,,,,,,2.0,,,,,,,,,,,,,,
106,cartopy,SciTools/cartopy,data-viz,,{},142.0,A library providing cartographic tools for python.,16,False,cartopy,conda-forge/cartopy,,,,8815.0,8815.0,https://pypi.org/project/cartopy,1785313.0,1891571.0,https://anaconda.org/conda-forge/cartopy,2020-05-18 16:23:27.911,2026-08-10 13:47:41.548,2026-08-10 13:47:41.548000,7969364.0,27.0,,,,,,2.0,,,,,,,,,,,,,,
107,metrics,Lightning-AI/metrics,distributed-ml,,{},294.0,Collection of PyTorch native metrics for easy evaluating machine learning models.,16,False,metrics,conda-forge/torchmetrics,,,['pytorch'],47910.0,47910.0,https://pypi.org/project/metrics,21903.0,70231.0,https://anaconda.org/conda-forge/torchmetrics,2021-03-16 10:50:04.846,2026-03-18 09:56:39.711,2026-03-18 09:56:39.711000,3141329.0,61.0,,,,,,1.0,,,,,,,,,,,,,,
108,TorchServe,pytorch/serve,model-serialisation,,{},222.0,Model serving on PyTorch.,15,False,torchserve,pytorch/torchserve,pytorch/torchserve,,['pytorch'],954.0,954.0,https://pypi.org/project/torchserve,33863.0,65082.0,https://anaconda.org/pytorch/torchserve,2020-04-21 03:52:57.365,2025-03-25 16:24:31.948,2025-03-25 16:24:31.948000,756158.0,25.0,https://hub.docker.com/r/pytorch/torchserve,2024-09-30 22:07:15.226668,33.0,33.0,1616542.0,2.0,,,,,,,,,,,,,,
109,Fastai,fastai/fastai,ml-frameworks,,{},263.0,,15,False,fastai,,,,['pytorch'],23518.0,23518.0,https://pypi.org/project/fastai,693890.0,693890.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
110,Theano,Theano/Theano,ml-frameworks,,{},386.0,Optimizing compiler for evaluating mathematical expressions on CPUs and GPUs.,15,False,theano,conda-forge/theano,,,,16324.0,16324.0,https://pypi.org/project/theano,100229.0,124944.0,https://anaconda.org/conda-forge/theano,2016-07-22 05:25:33.294,2025-04-22 14:56:25.718,2025-04-22 14:56:25.718000,2990608.0,8.0,,,,,,2.0,,,,,,,,,,,,,,
111,PaddlePaddle,PaddlePaddle/Paddle,ml-frameworks,,{},1528.0,,15,False,paddlepaddle,,,,['paddle'],9634.0,9634.0,https://pypi.org/project/paddlepaddle,2442681.0,2442681.0,,,,,,,,,,,,2.0,-30.0,,,,,,,,,,,,,
112,flair,flairNLP/flair,nlp,,{},278.0,A very simple framework for state-of-the-art NLP.,15,False,flair,conda-forge/python-flair,,,['pytorch'],4178.0,4178.0,https://pypi.org/project/flair,189924.0,190750.0,https://anaconda.org/conda-forge/python-flair,2020-07-28 19:00:35.095,2025-04-22 14:57:32.879,2025-04-22 14:57:32.879000,60370.0,14.0,,,,,,2.0,,,,,,,,,,,,,,
113,stanza,stanfordnlp/stanza,nlp,,{},78.0,"Stanza: A Python NLP Library for Many Human Languages, by the Stanford NLP Group.",15,False,stanza,stanfordnlp/stanza,,,,4328.0,4328.0,https://pypi.org/project/stanza,1136699.0,1136824.0,https://anaconda.org/stanfordnlp/stanza,2020-03-14 02:34:20.643,2025-03-25 16:28:39.162,2025-03-25 16:28:39.162000,9662.0,13.0,,,,,,2.0,,,,,,,,,,,,,,
114,torchvision,pytorch/vision,image,,{},691.0,Image and video datasets and models for torch deep learning.,15,False,torchvision,conda-forge/torchvision,,,['pytorch'],24.0,24.0,https://pypi.org/project/torchvision,38000748.0,38080257.0,https://anaconda.org/conda-forge/torchvision,2021-03-09 23:13:43.284,2026-08-01 22:03:05.408,2026-08-01 22:03:05.408000,5168141.0,32.0,,,,,,2.0,,,,,,,,,,,,,,
115,OCRmyPDF,ocrmypdf/OCRmyPDF,ocr,,{},123.0,"OCRmyPDF adds an OCR text layer to scanned PDF files, allowing them to be searched.",15,False,ocrmypdf,conda-forge/ocrmypdf,,,,1578.0,1578.0,https://pypi.org/project/ocrmypdf,1144748.0,1147023.0,https://anaconda.org/conda-forge/ocrmypdf,2021-02-25 13:52:39.515,2026-08-05 07:56:00.221,2026-08-05 07:56:00.221000,150165.0,55.0,,,,,,1.0,,,,,,,ocrmypdf,ocrmypdf,,,,,,
116,EasyOCR,JaidedAI/EasyOCR,ocr,,{},129.0,,15,False,easyocr,,,,,18124.0,18124.0,https://pypi.org/project/easyocr,3661716.0,3661716.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
117,hvPlot,holoviz/hvplot,data-viz,,{},54.0,A high-level plotting API for the PyData ecosystem built on HoloViews.,15,False,hvplot,conda-forge/hvplot,,,,7529.0,7529.0,https://pypi.org/project/hvplot,1398783.0,1413066.0,https://anaconda.org/conda-forge/hvplot,2020-06-02 12:42:34.211,2025-12-18 15:35:41.427,2025-12-18 15:35:41.427000,1056998.0,26.0,,,,,,2.0,,,,,,,,,,,,,,
118,missingno,ResidentMario/missingno,data-viz,,{},18.0,Missing data visualization module for Python.,15,False,missingno,conda-forge/missingno,,,,23624.0,23624.0,https://pypi.org/project/missingno,469030.0,489256.0,https://anaconda.org/conda-forge/missingno,2024-03-02 01:06:25.066,2025-09-17 20:28:20.219,2025-09-17 20:28:20.219000,586562.0,5.0,,,,,,2.0,,,,,,,,,,,,,,
119,VisPy,vispy/vispy,data-viz,,{},210.0,High-performance interactive 2D/3D data visualization library.,15,False,vispy,conda-forge/vispy,,,['jupyter'],2319.0,2319.0,https://pypi.org/project/vispy,1490766.0,1511113.0,https://anaconda.org/conda-forge/vispy,2020-09-24 16:39:06.228,2026-05-20 16:45:50.072,2026-05-20 16:45:50.072000,1443485.0,38.0,,,,,,2.0,,,vispy,https://www.npmjs.com/package/vispy,17.0,,,,,,,,,
